commentsCount,likesCount,tipo,hasMusic,num_hashtags,num_images,dia_semana,mes,year,fecha,hora,id,franja_horaria
16,66,Sidecar,0,0,5,Jueves,Febrero,2025,2025-02-06,09:26:29,0,9:30
11,84,Sidecar,0,9,2,Jueves,Diciembre,2024,2024-12-12,19:47:30,1,19-20
16,33,Sidecar,0,0,5,Miércoles,Marzo,2025,2025-03-19,12:51:46,2,13:00
29,45,Sidecar,0,10,2,Miércoles,Marzo,2025,2025-03-26,16:13:56,3,14:00
31,80,Sidecar,0,0,5,Lunes,Marzo,2025,2025-03-17,09:59:46,4,10:00
6,37,Video,1,0,0,Viernes,Marzo,2025,2025-03-28,17:00:11,5,17-18
23,58,Sidecar,0,10,7,Martes,Marzo,2025,2025-03-18,11:12:48,6,11:00
25,58,Sidecar,0,8,5,Martes,Marzo,2025,2025-03-04,09:26:20,7,9:30
12,33,Video,1,5,0,Viernes,Marzo,2025,2025-03-28,17:01:16,8,17-18
12,37,Image,0,7,1,Sábado,Marzo,2025,2025-03-15,09:24:03,9,9:30
28,51,Sidecar,0,10,7,Lunes,Marzo,2025,2025-03-24,08:45:49,10,9:00
14,76,Sidecar,0,10,5,Jueves,Marzo,2025,2025-03-13,09:16:59,11,9:30
18,46,Sidecar,0,0,4,Martes,Febrero,2025,2025-02-25,09:13:08,12,9:00
13,26,Video,1,10,0,Miércoles,Marzo,2025,2025-03-05,10:36:33,13,11:00
6,44,Sidecar,0,8,6,Jueves,Febrero,2025,2025-02-27,08:36:29,14,antes de 8:45
4,40,Image,0,10,1,Jueves,Marzo,2025,2025-03-06,10:59:52,15,11:00
6,42,Image,0,0,1,Martes,Febrero,2025,2025-02-18,09:51:02,16,10:00
14,42,Video,1,6,0,Miércoles,Marzo,2025,2025-03-12,09:34:54,17,9:30
10,35,Image,0,6,1,Miércoles,Febrero,2025,2025-02-12,09:00:32,18,9:00
10,35,Video,1,8,0,Jueves,Febrero,2025,2025-02-13,09:36:55,19,9:30
23,31,Video,1,10,0,Lunes,Marzo,2025,2025-03-10,10:10:38,20,10:00
9,39,Sidecar,0,0,5,Miércoles,Febrero,2025,2025-02-19,13:01:52,21,13:00
10,45,Sidecar,0,5,2,Jueves,Febrero,2025,2025-02-20,09:33:38,22,9:30
8,22,Video,1,7,0,Domingo,Febrero,2025,2025-02-23,14:46:01,23,14:00
2,18,Image,0,0,1,Lunes,Diciembre,2024,2024-12-23,13:10:03,24,13:00
6,45,Image,0,6,1,Martes,Diciembre,2024,2024-12-24,11:37:32,25,12:00
12,35,Video,1,9,0,Jueves,Enero,2025,2025-01-09,11:07:09,26,11:00
4,60,Sidecar,0,0,2,Miércoles,Enero,2025,2025-01-15,13:39:02,27,14:00
9,54,Video,1,6,0,Jueves,Enero,2025,2025-01-23,08:09:49,28,antes de 8:45
9,62,Sidecar,0,0,9,Lunes,Diciembre,2024,2024-12-30,18:47:31,29,18-19
2,48,Image,0,0,1,Domingo,Diciembre,2024,2024-12-29,21:24:52,30,20+
4,29,Video,1,10,0,Martes,Febrero,2025,2025-02-11,14:07:46,31,14:00
20,40,Sidecar,0,9,8,Martes,Febrero,2025,2025-02-04,09:00:31,32,9:00
13,26,Video,1,6,0,Sábado,Diciembre,2024,2024-12-21,12:00:30,34,12:00
2,25,Image,0,4,1,Jueves,Diciembre,2024,2024-12-19,11:06:15,35,11:00
2,22,Image,0,4,1,Martes,Diciembre,2024,2024-12-17,13:01:16,36,13:00
4,51,Image,0,9,1,Miércoles,Diciembre,2024,2024-12-11,17:33:18,37,17-18
4,32,Sidecar,0,0,3,Lunes,Diciembre,2024,2024-12-09,21:49:51,38,20+
1,20,Video,1,4,0,Martes,Diciembre,2024,2024-12-10,19:04:54,39,19-20
15,55,Sidecar,0,10,2,Miércoles,Diciembre,2024,2024-12-11,09:31:56,40,9:30
