hashtag,count,mean,max
libros,26,41.07692307692308,84
lectura,16,40.4375,84
artesanía,14,42.07142857142857,84
hechoamano,13,43.15384615384615,84
cozy,11,34.54545454545455,58
bookstagram,10,36.6,58
marcapaginas,9,45.22222222222222,84
regalos,8,29.5,45
velas,6,36.666666666666664,51
handmade,5,50.4,76
acotar,5,61.2,84
natural,4,40.5,51
madera,4,47.0,84
rhysand,3,58.333333333333336,84
lecturacozy,3,38.333333333333336,40
booktok,3,41.333333333333336,58
aesthetic,3,59.333333333333336,76
binding13,3,47.666666666666664,76
lecturas,3,47.666666666666664,58
primavera,3,44.666666666666664,58
velasaromaticas,3,44.333333333333336,51
amorporloslibros,2,41.5,54
fundasliterarias,2,55.5,76
feyre,2,62.0,84
powerless,2,60.5,76
relax,2,44.0,51
original,2,47.5,55
sanvalentin,2,32.0,35
decoracion,2,54.5,58
aroma,2,41.0,45
naturaleza,2,33.0,40
llaveros,2,53.0,55
books,2,33.0,40
onceuponabrokenheart,2,54.5,76
navidad,1,22.0,22
novia,1,76.0,76
velaris,1,51.0,51
paginas,1,58.0,58
pegatinas,1,58.0,58
personalizado,1,35.0,35
proceso,1,31.0,31
melts,1,51.0,51
relajacion,1,51.0,51
stickers,1,58.0,58
sweet,1,45.0,45
unacortederosasyespinas,1,40.0,40
vainilla,1,45.0,45
vanilla,1,45.0,45
vela,1,45.0,45
acogedor,1,25.0,25
lectorescozy,1,54.0,54
maderanatural,1,42.0,42
elarchivodelastormentas,1,35.0,35
alasdesangre,1,55.0,55
aromas,1,51.0,51
aromaterapia,1,51.0,51
brandonsanderson,1,35.0,35
café,1,37.0,37
caraval,1,76.0,76
chloewalsh,1,22.0,22
coleccion,1,58.0,58
descanso,1,25.0,25
diseño,1,58.0,58
dulce,1,45.0,45
espiritualidad,1,44.0,44
librosquemarcan,1,54.0,54
fantasía,1,44.0,44
fantasíayromance,1,54.0,54
findesemana,1,37.0,37
floral,1,58.0,58
frasesbonitas,1,20.0,20
historia,1,44.0,44
imaginacion,1,40.0,40
keeping13,1,76.0,76
kindle,1,58.0,58
lectora,1,55.0,55
lecturainspiradora,1,54.0,54
waxmelts,1,51.0,51
