Días de la semana,Likes totales por día,Comentarios totales por día,Promedio de Likes,Promedio de comentarios,Nº de publicaciones,,,Franjas horarias,,,,,,,,,,,,,,,,,,,,,,,,,
Jueves,504,94,50,9,10,,,17-18,,18-19,,19-20,,20+,,antes de 8:45,,9:00:00 AM,,9:30:00 AM,,10:00:00 AM,,11:00:00 AM,,12:00:00 PM,,1:00:00 PM,,2:00:00 PM,,Total Promedio de Likes,Total Cuenta de id
Lunes,274,97,46,16,6,,Días,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,Promedio de Likes,Cuenta de id,,
Miércoles,386,114,43,13,9,,Domingo,,,,,,,48,1,,,,,,,,,,,,,,,22,1,35,2
Martes,360,105,40,12,9,,Jueves,,,,,84,1,,,49,2,,,56,4,,,33,3,,,,,,,50,10
Domingo,70,10,35,5,2,,Lunes,,,62,1,,,32,1,,,51,1,,,56,2,,,,,18,1,,,46,6
Viernes,70,18,35,9,2,,Martes,,,,,20,1,,,,,43,2,58,1,42,1,58,1,45,1,22,1,29,1,40,9
Sábado,63,25,32,13,2,,Miércoles,51,1,,,,,,,,,35,1,49,2,,,26,1,,,36,2,53,2,43,9
Total general,1727,463,43,12,40,,Sábado,,,,,,,,,,,,,37,1,,,,,26,1,,,,,32,2
,,,,,,,Viernes,35,2,,,,,,,,,,,,,,,,,,,,,,,35,2
,,,,,,,Total general,40,3,62,1,52,2,40,2,49,2,43,4,52,8,51,3,37,5,36,2,28,4,39,4,43,40
Franjas horarias,Likes totales por franja,Comentarios totales por franja,Promedio de Likes,Promedio de cometarios,Nº de publicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-19,62,9,62,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-20,104,12,52,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:30:00 AM,414,116,52,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00 AM,153,60,51,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antes de 8:45,98,15,49,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00:00 AM,172,76,43,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-18,121,22,40,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20+,80,6,40,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00:00 PM,156,45,39,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 AM,184,54,37,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00:00 PM,71,19,36,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:00 PM,112,29,28,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total general,1727,463,43,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
